Indus_Sign,Dravidian_Syllable
002,an
000,ar
220,i
032,am
740,al
390,eg
520,er
240,a
820,ad
060,ur
861,ian
741,kann
033,ing
235,as
031,amb
817,und
001,ikk
233,y
003,ath
590,av
705,ill
920,venk
090,mah
798,ip
803,aj
415,il
140,siv
400,ir
760,raj
368,dev
806,ag
100,eett
550,akk
176,app
151,up
231,ram
255,u
706,bal
840,thekk
900,ed
527,vad
405,upp
061,att
692,um
125,eth
017,un
156,in
004,ishn
407,akr
575,thir
142,ik
055,oud
503,ap
350,ponn
617,kizh
717,uv
016,abh
690,ayil
742,uk
388,meen
435,ug
005,kutt
595,iv
904,all
440,ud
154,nad
460,anth
013,em
615,ang
455,e
892,bas
416,el
070,and
585,adh
832,ah
226,asw
923,uzh
790,is
632,ubr
850,ann
555,ak
700,per
165,vem
745,ep
621,ach
877,chikk
384,par
482,som
463,ul
035,yar
374,eshw
679,kod
171,amp
495,add
297,ump
236,pal
065,puth
320,at
175,visw
630,en
